599,599,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,3,126,3,3,3,3,3,90,90,90,3,75,75,75,75,75,75,75,75,75,3,74,26,3,26,26,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
394,394,394,394,394,394,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
367,367,367,367,367,367,367,367,237,237,237,237,237,237,237,237,237,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,4,4,4,16,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
435,435,435,435,435,9,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,9,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
294,294,294,294,294,294,294,294,294,294,294,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,5,5,5,5,5,5,5,5,5,5,5,5,142,5,5,5,5,114,114,114,114,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
505,505,505,505,6,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,6,6,6,6,6,6,6,6,3,6,139,6,6,6,6,119,119,119,6,6,95,95,95,6,6,6,6,6,6,6,6,6,6,6,6,6,68,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,42,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
668,3,506,506,3,291,291,291,291,291,291,291,3,3,257,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
542,542,542,473,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,5,5,5,5,5,5,5,5,5,5,5,5,142,5,5,5,127,5,5,5,5,110,5,5,80,80,80,80,80,5,5,5,71,71,71,71,71,71,26,64,64,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
312,312,312,312,312,312,312,312,312,312,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2,128,128,128,128,128,128,128,128,128,128,128,128,128,17,115,115,115,115,21,104,21,85,85,85,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
3,543,3,3,464,3,3,3,3,3,3,3,3,3,3,3,213,213,213,213,213,213,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
